Breed Name,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Tolerates Being Alone,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Easy To Groom,General Health,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Energy Level,Exercise Needs,Potential For Playfulness,Dog Breed Group_Herding Dogs,Dog Breed Group_Hound Dogs,Dog Breed Group_Hybrid Dogs,Dog Breed Group_Mixed Breed Dogs,Dog Breed Group_Non-Sporting Dogs,Dog Breed Group_Sporting Dogs,Dog Breed Group_Terrier Dogs,Dog Breed Group_Working Dogs
Chigi,13.0,3.4,3,4,2,5,5,2,2,4,5,3,1,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Chihuahua Longhair,14.0,3.2,5,4,2,5,5,2,2,3,2,2,1,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,0,0,0,0,0,0,0,0
Chihuahua Shorthair,14.0,3.2,5,4,1,5,5,2,2,2,5,2,1,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,0,0,0,0,0,0,0,0
Chilier,14.0,2.8,4,2,2,4,4,4,3,2,4,4,2,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Chinese Crested,12.0,3.0,5,3,1,4,5,4,4,2,2,5,2,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0
Chinese Sharpei,10.0,2.8,4,2,4,2,2,1,2,2,5,1,3,3.0,2.0,5.0,2.0,5.0,2.0,3.0,1.0,0,0,0,0,0,0,0,1
Chinook,14.0,3.2,4,1,1,5,5,5,4,5,2,4,4,4.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Chion,12.0,2.8,4,3,2,5,3,3,2,2,3,4,2,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,0,0,0,1,0,0,0,0
Chipin,12.0,3.2,5,4,1,5,4,2,2,2,5,3,1,4.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,0,0,0,1,0,0,0,0
Chiweenie,14.0,3.0,5,3,2,4,2,3,2,1,5,3,1,2.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Chorkie,14.0,3.4,5,5,1,4,3,3,2,2,3,3,1,3.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,0,0,0,1,0,0,0,0
Chow Chow,14.0,3.4,3,2,5,2,1,1,1,1,1,2,4,2.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
Chow Shepherd,14.0,3.2,3,2,2,3,3,2,2,5,1,3,4,3.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Chug,12.0,3.2,5,3,3,5,4,3,3,4,4,4,1,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Chusky,12.0,3.0,2,2,3,4,4,3,3,5,2,3,3,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Cirneco dell’Etna,13.0,3.2,4,3,3,5,5,4,3,2,4,5,3,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0
Clumber Spaniel,12.0,4.2,5,5,2,5,3,4,3,5,1,2,3,4.0,3.0,5.0,5.0,1.0,3.0,2.0,5.0,0,0,0,0,0,1,0,0
Cockalier,14.0,3.2,4,4,2,5,5,4,3,2,4,4,2,4.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Cockapoo,14.0,4.0,4,5,3,5,4,5,4,1,3,2,2,4.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,0,0,1,0,0,0,0,0
Cocker Spaniel,14.0,3.6,5,3,1,5,3,4,3,3,1,4,2,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,0,0,0,0,0,1,0,0
